"qname","qtype","dimension","ecode","value","rescaled_value","identity"
"Q420_1","trait","white",17.9462104816796,65,0.65,"american"
"Q420_1","trait","white",18.2336313927624,21,0.21,"american"
"Q420_1","trait","white",24.2886919866523,43,0.43,"american"
"Q420_1","trait","white",30.4853382970871,55,0.55,"american"
"Q420_1","trait","white",14.9325859218213,32,0.32,"american"
"Q420_1","trait","white",31.1225014995137,50,0.5,"american"
"Q420_1","trait","white",13.8136433457987,36,0.36,"american"
"Q420_1","trait","white",46.7644503113731,77,0.77,"american"
"Q420_1","trait","white",33.7979914994906,50,0.5,"american"
"Q420_1","trait","white",21.388737075587,40,0.4,"american"
"Q420_1","trait","white",22.2218611189681,38,0.38,"american"
"Q420_1","trait","white",21.6094286513071,54,0.54,"american"
"Q420_1","trait","white",48.2741470235107,74,0.74,"american"
"Q420_1","trait","white",20.3722193537681,40,0.4,"american"
"Q420_1","trait","white",39.6191313121512,80,0.8,"american"
"Q420_1","trait","white",21.1789208902463,70,0.7,"american"
"Q420_1","trait","white",28.8955877083111,79,0.79,"american"
"Q420_1","trait","white",24.6031844801277,60,0.6,"american"
"Q420_1","trait","white",44.1260714109815,33,0.33,"american"
"Q420_1","trait","white",10.658856751085,56,0.56,"american"
"Q420_1","trait","white",18.690694542064,56,0.56,"american"
"Q420_1","trait","white",20.7483141275002,30,0.3,"american"
